index,Timestamp,Age,0,1,FOS,ThemeN,ThemeNo
130,11/4/2021 21:29,25,0,1,0,15,15
131,11/5/2021 21:29,25,0,1,0,17,17
132,11/4/2021 21:32,23,1,0,12,1,1
134,11/4/2021 22:10,22,1,0,11,1,1
135,11/5/2021 22:10,22,1,0,11,13,13
136,11/4/2021 22:12,25,1,0,9,1,1
137,11/4/2021 22:14,26,1,0,0,8,8
138,11/4/2021 22:16,23,0,1,0,1,1
139,11/4/2021 22:18,23,1,0,12,1,1
140,11/5/2021 22:18,23,1,0,12,9,9
141,11/5/2021 22:18,23,1,0,12,14,14
142,11/6/2021 22:18,23,1,0,12,20,20
143,11/4/2021 22:23,19,1,0,1,11,11
144,11/4/2021 22:52,24,1,0,24,1,1
145,11/4/2021 23:00,30,0,1,11,4,4
146,11/4/2021 23:23,37,1,0,12,3,3
147,11/5/2021 23:23,37,1,0,12,6,6
148,11/6/2021 23:23,37,1,0,12,13,13
149,11/4/2021 23:34,25,0,1,6,3,3
150,11/4/2021 23:47,23,0,1,11,1,1
151,11/5/2021 0:10,20,0,1,6,1,1
152,11/5/2021 0:26,25,0,1,14,1,1
153,11/6/2021 0:26,25,0,1,14,8,8
154,11/5/2021 0:26,25,0,1,5,4,4
155,11/5/2021 1:02,23,0,1,6,5,5
156,11/5/2021 3:11,24,0,1,5,8,8
157,11/6/2021 3:11,24,0,1,5,13,13
158,11/7/2021 3:11,24,0,1,5,15,15
159,11/5/2021 7:17,24,0,1,0,5,5
160,11/5/2021 7:56,23,0,1,11,1,1
161,11/5/2021 8:20,21,1,0,11,13,13
162,11/6/2021 8:20,21,1,0,11,17,17
164,11/5/2021 9:38,24,1,0,24,7,7
165,11/5/2021 9:57,25,1,0,0,14,14
166,11/5/2021 10:02,24,1,0,11,5,5
167,11/5/2021 10:32,25,1,0,1,2,2
168,11/5/2021 10:32,25,1,0,11,1,1
169,11/5/2021 10:47,18,0,1,11,1,1
170,11/6/2021 10:47,18,0,1,11,4,4
171,11/5/2021 11:49,25,0,1,1,4,4
172,11/6/2021 11:49,25,0,1,1,5,5
173,11/5/2021 11:58,24,1,0,0,1,1
174,11/6/2021 11:58,24,1,0,0,5,5
175,11/7/2021 11:58,24,1,0,0,8,8
176,11/8/2021 11:58,24,1,0,0,19,19
177,11/5/2021 12:19,24,1,0,11,9,9
179,11/5/2021 13:33,25,0,1,11,17,17
180,11/5/2021 13:36,25,0,1,11,1,1
181,11/6/2021 13:36,25,0,1,11,8,8
182,11/7/2021 13:36,25,0,1,11,19,19
183,11/5/2021 14:01,25,1,0,19,1,1
184,11/6/2021 14:01,25,1,0,19,9,9
185,11/5/2021 14:31,18,1,0,1,4,4
186,11/5/2021 15:20,27,1,0,24,1,1
187,11/5/2021 15:59,23,0,1,11,1,1
188,11/5/2021 16:29,28,1,0,11,7,7
189,11/5/2021 18:57,27,1,0,24,8,8
190,11/6/2021 7:48,24,1,0,6,11,11
191,11/7/2021 1:45,25,0,1,6,4,4
192,11/7/2021 12:23,24,0,1,6,1,1
193,11/8/2021 12:23,24,0,1,6,4,4
194,11/9/2021 12:23,24,0,1,6,10,10
195,12/12/2021 15:12,23,1,0,1,1,1
196,12/12/2021 15:14,26,1,0,0,4,4
197,12/12/2021 15:18,23,1,0,11,8,8
198,12/13/2021 15:18,23,1,0,11,18,18
199,12/12/2021 15:20,23,0,1,24,8,8
200,12/12/2021 15:25,23,0,1,11,1,1
201,12/12/2021 15:25,24,1,0,0,1,1
202,12/13/2021 15:25,24,1,0,0,14,14
203,12/12/2021 15:26,23,1,0,20,5,5
204,12/13/2021 15:26,23,1,0,20,15,15
205,12/12/2021 15:43,22,1,0,24,13,13
206,12/13/2021 15:43,22,1,0,24,17,17
207,12/14/2021 15:43,22,1,0,24,18,18
208,12/12/2021 16:01,24,1,0,24,7,7
209,12/12/2021 16:07,24,1,0,20,4,4
210,12/12/2021 16:08,23,0,1,1,2,2
211,12/12/2021 16:10,25,0,1,20,1,1
212,12/12/2021 16:27,24,1,0,20,8,8
213,12/13/2021 16:27,24,1,0,20,11,11
214,12/14/2021 16:27,24,1,0,20,18,18
215,12/12/2021 16:29,24,1,0,11,8,8
216,12/12/2021 16:51,25,1,0,24,1,1
217,12/12/2021 17:01,23,0,1,11,5,5
218,12/12/2021 17:28,23,1,0,6,5,5
219,12/12/2021 17:29,23,1,0,6,13,13
220,12/12/2021 17:33,24,1,0,24,4,4
221,12/12/2021 17:36,23,1,0,6,1,1
222,12/13/2021 17:36,23,1,0,6,13,13
223,12/12/2021 18:02,24,1,0,11,10,10
224,12/12/2021 18:08,23,0,1,24,18,18
225,12/12/2021 18:09,25,1,0,24,5,5
226,12/12/2021 18:27,25,0,1,5,20,20
227,12/12/2021 18:28,23,1,0,24,1,1
228,12/13/2021 18:28,23,1,0,24,2,2
229,12/14/2021 18:28,23,1,0,24,4,4
230,12/15/2021 18:28,23,1,0,24,10,10
231,12/16/2021 18:28,23,1,0,24,11,11
232,12/12/2021 18:54,23,1,0,24,1,1
233,12/13/2021 18:54,23,1,0,24,5,5
234,12/12/2021 19:43,21,0,1,11,5,5
235,12/12/2021 20:49,22,1,0,5,1,1
236,12/12/2021 21:19,24,0,1,24,1,1
237,12/12/2021 21:30,23,1,0,5,1,1
238,12/13/2021 21:30,23,1,0,5,7,7
239,12/12/2021 23:00,24,1,0,6,13,13
240,12/12/2021 23:49,23,1,0,24,1,1
241,12/13/2021 5:19,24,1,0,15,7,7
242,12/14/2021 5:19,24,1,0,15,13,13
243,12/13/2021 5:46,24,1,0,15,15,15
244,12/13/2021 8:45,24,1,0,26,15,15
245,12/14/2021 8:45,24,1,0,26,19,19
246,12/13/2021 9:02,22,1,0,11,1,1
247,12/13/2021 9:32,24,1,0,11,13,13
248,12/13/2021 10:02,23,1,0,20,14,14
249,12/13/2021 13:19,22,1,0,26,5,5
250,12/13/2021 15:56,24,1,0,19,1,1
251,12/13/2021 18:38,23,1,0,24,1,1
252,12/13/2021 19:40,25,0,1,15,1,1
253,12/14/2021 19:40,25,0,1,15,5,5
254,12/15/2021 19:40,25,0,1,15,7,7
255,12/13/2021 19:59,23,1,0,19,14,14
256,12/13/2021 22:35,24,1,0,26,15,15
257,12/14/2021 22:35,24,1,0,26,11,11
258,12/13/2021 22:40,23,1,0,11,1,1
259,12/14/2021 22:40,23,1,0,11,5,5
260,12/15/2021 22:40,23,1,0,11,11,11
261,12/14/2021 6:09,25,1,0,26,5,5
262,12/14/2021 7:02,26,0,1,10,1,1
263,12/14/2021 11:56,25,0,1,11,13,13
264,12/14/2021 11:56,25,0,1,24,1,1
265,12/14/2021 11:58,25,1,0,10,11,11
266,12/14/2021 11:59,25,1,0,10,1,1
267,12/15/2021 11:59,25,1,0,10,13,13
268,12/16/2021 11:59,25,1,0,10,16,16
269,12/14/2021 12:00,25,1,0,10,8,8
270,12/14/2021 12:01,24,1,0,10,2,2
271,12/15/2021 12:01,24,1,0,10,13,13
272,12/16/2021 12:01,24,1,0,10,19,19
274,12/14/2021 12:11,26,1,0,20,19,19
275,12/14/2021 12:11,24,1,0,12,1,1
276,12/14/2021 12:13,25,0,1,24,1,1
277,12/15/2021 12:13,25,0,1,24,13,13
278,12/16/2021 12:13,25,0,1,24,15,15
279,12/17/2021 12:13,25,0,1,24,17,17
280,12/18/2021 12:13,25,0,1,24,19,19
281,12/14/2021 12:14,25,1,0,12,1,1
282,12/14/2021 12:14,25,1,0,12,13,13
283,12/14/2021 12:15,24,0,1,24,1,1
284,12/14/2021 12:18,24,0,1,24,1,1
285,12/14/2021 12:20,26,0,1,11,7,7
286,12/14/2021 12:26,25,0,1,11,5,5
287,12/14/2021 12:27,26,1,0,24,13,13
288,12/14/2021 12:28,26,0,1,10,11,11
289,12/14/2021 12:33,25,1,0,10,14,14
290,12/14/2021 12:39,24,0,1,24,1,1
291,12/14/2021 13:02,24,1,0,12,2,2
292,12/15/2021 13:02,24,1,0,12,14,14
293,12/14/2021 13:24,26,0,1,24,1,1
294,12/15/2021 13:24,26,0,1,24,17,17
295,12/16/2021 13:24,26,0,1,24,19,19
296,12/17/2021 13:24,26,0,1,24,20,20
297,12/14/2021 13:26,26,1,0,24,7,7
298,12/14/2021 13:47,26,1,0,10,8,8
299,12/14/2021 14:17,26,0,1,16,2,2
300,12/14/2021 14:26,27,0,1,16,1,1
301,12/14/2021 14:38,25,0,1,4,4,4
302,12/14/2021 14:45,24,1,0,24,1,1
303,12/15/2021 14:45,24,1,0,24,8,8
304,12/16/2021 14:45,24,1,0,24,18,18
305,12/14/2021 14:46,26,1,0,24,1,1
306,12/14/2021 14:50,24,0,1,24,1,1
307,12/14/2021 15:10,25,0,1,24,5,5
308,12/14/2021 16:07,23,1,0,16,1,1
309,12/14/2021 16:14,24,1,0,16,14,14
310,12/14/2021 16:43,26,1,0,4,5,5
311,12/15/2021 16:43,26,1,0,4,8,8
312,12/16/2021 16:43,26,1,0,4,13,13
313,12/14/2021 16:58,25,0,1,16,5,5
314,12/14/2021 17:08,25,0,1,4,19,19
315,12/14/2021 17:32,25,1,0,11,8,8
316,12/15/2021 17:32,25,1,0,11,13,13
317,12/14/2021 17:33,25,1,0,11,1,1
318,12/14/2021 17:38,27,1,0,19,15,15
319,12/14/2021 18:09,24,0,1,11,7,7
320,12/14/2021 18:37,25,1,0,2,13,13
321,12/15/2021 18:37,25,1,0,2,2,2
322,12/14/2021 18:49,25,1,0,15,7,7
323,12/15/2021 18:49,25,1,0,15,11,11
324,12/16/2021 18:49,25,1,0,15,12,12
325,12/14/2021 18:54,21,1,0,24,7,7
326,12/15/2021 18:54,21,1,0,24,11,11
327,12/14/2021 20:06,26,1,0,21,14,14
328,12/15/2021 20:06,26,1,0,21,15,15
329,12/16/2021 20:06,26,1,0,21,19,19
330,12/14/2021 20:17,25,0,1,11,8,8
331,12/15/2021 20:17,25,0,1,11,13,13
332,12/14/2021 20:21,24,0,1,22,8,8
333,12/14/2021 20:31,26,1,0,4,14,14
334,12/14/2021 23:30,23,1,0,11,2,2
335,12/14/2021 23:35,25,1,0,2,4,4
336,12/15/2021 1:59,24,1,0,24,1,1
337,12/16/2021 1:59,24,1,0,24,4,4
338,12/15/2021 4:38,26,1,0,17,13,13
339,12/16/2021 4:38,26,1,0,17,14,14
340,12/15/2021 7:26,25,1,0,23,8,8
341,12/15/2021 7:43,26,1,0,16,8,8
342,12/16/2021 7:43,26,1,0,16,13,13
343,12/15/2021 8:18,25,0,1,11,1,1
344,12/15/2021 8:40,23,1,0,24,1,1
345,12/16/2021 8:40,23,1,0,24,2,2
346,12/17/2021 8:40,23,1,0,24,5,5
347,12/15/2021 10:23,25,1,0,8,1,1
348,12/15/2021 10:37,24,1,0,14,20,20
349,12/15/2021 10:58,24,1,0,4,1,1
350,12/16/2021 10:58,24,1,0,4,20,20
351,12/15/2021 11:38,25,1,0,25,8,8
352,12/16/2021 11:38,25,1,0,25,18,18
353,12/15/2021 21:09,24,1,0,14,1,1
354,12/16/2021 6:48,24,1,0,3,8,8
355,12/17/2021 6:48,24,1,0,3,13,13
356,12/18/2021 6:48,24,1,0,3,17,17
357,12/16/2021 8:04,24,1,0,24,19,19
358,12/16/2021 20:02,24,1,0,24,8,8
359,12/17/2021 20:02,24,1,0,24,15,15
360,12/17/2021 6:04,25,0,1,24,18,18
361,12/17/2021 15:16,25,0,1,19,1,1
362,12/18/2021 15:16,25,0,1,19,2,2
363,12/19/2021 15:16,25,0,1,19,4,4
364,12/20/2021 15:16,25,0,1,19,5,5
365,12/17/2021 23:44,25,0,1,8,8,8
366,12/18/2021 23:44,25,0,1,8,16,16
367,12/19/2021 16:21,25,1,0,13,1,1
368,12/20/2021 16:21,25,1,0,13,4,4
369,12/21/2021 7:39,22,1,0,11,1,1
370,12/22/2021 7:39,22,1,0,11,5,5
371,1/9/2022 20:25,25,0,1,0,10,10
372,1/10/2022 20:25,25,0,1,0,19,19
