index,Timestamp,Age,0,1,FOS,ThemeN,ThemeNo,Age2
0,10/21/2021 22:25,24,0,1,11,3,3,24
1,10/22/2021 22:25,24,0,1,11,5,5,24
2,10/23/2021 22:25,24,0,1,11,9,9,24
3,10/24/2021 22:25,24,0,1,11,11,11,24
4,10/21/2021 22:27,24,0,1,24,1,1,24
5,11/4/2021 17:49,25,1,0,11,1,1,25
6,11/4/2021 17:49,25,1,0,15,1,1,25
7,11/5/2021 17:49,25,1,0,15,8,8,25
8,11/6/2021 17:49,25,1,0,15,15,15,25
9,11/4/2021 17:49,25,0,1,24,1,1,25
10,11/4/2021 17:50,24,0,1,15,4,4,24
11,11/4/2021 17:52,24,1,0,11,1,1,24
12,11/4/2021 17:53,26,1,0,11,1,1,25
13,11/5/2021 17:53,26,1,0,11,4,4,25
14,11/6/2021 17:53,26,1,0,11,5,5,25
15,11/4/2021 17:54,24,1,0,24,17,17,24
16,11/4/2021 17:56,19,1,0,15,1,1,19
17,11/4/2021 17:56,24,1,0,24,8,8,24
18,11/4/2021 17:56,24,0,1,11,4,4,24
19,11/4/2021 17:57,24,1,0,11,4,4,24
20,11/4/2021 17:58,25,0,1,14,7,7,25
21,11/4/2021 17:58,25,0,1,11,1,1,25
22,11/5/2021 17:58,25,0,1,11,4,4,25
23,11/4/2021 18:01,24,1,0,14,1,1,24
24,11/5/2021 18:01,24,1,0,14,4,4,24
25,11/6/2021 18:01,24,1,0,14,5,5,24
26,11/4/2021 18:03,24,0,1,5,8,8,24
27,11/4/2021 18:04,25,0,1,6,1,1,25
28,11/4/2021 18:04,26,0,1,7,1,1,25
29,11/4/2021 18:05,19,1,0,19,6,6,19
30,11/5/2021 18:05,19,1,0,19,12,12,19
31,11/6/2021 18:05,19,1,0,19,14,14,19
32,11/7/2021 18:05,19,1,0,19,17,17,19
33,11/8/2021 18:05,19,1,0,19,18,18,19
34,11/9/2021 18:05,19,1,0,19,19,19,19
35,11/4/2021 18:12,25,0,1,5,1,1,25
36,11/4/2021 18:12,27,0,1,0,8,8,25
37,11/4/2021 18:14,25,1,0,11,1,1,25
38,11/5/2021 18:14,25,1,0,11,8,8,25
39,11/6/2021 18:14,25,1,0,11,11,11,25
40,11/4/2021 18:15,23,0,1,11,2,2,23
41,11/4/2021 18:16,25,0,1,11,1,1,25
42,11/5/2021 18:16,25,0,1,11,2,2,25
43,11/6/2021 18:16,25,0,1,11,9,9,25
44,11/4/2021 18:16,25,0,1,14,4,4,25
45,11/4/2021 18:19,25,0,1,11,1,1,25
46,11/4/2021 18:20,25,0,1,6,5,5,25
47,11/4/2021 18:21,23,0,1,11,5,5,23
48,11/4/2021 18:21,24,1,0,14,12,12,24
49,11/5/2021 18:21,24,1,0,14,13,13,24
50,11/6/2021 18:21,24,1,0,14,16,16,24
51,11/4/2021 18:22,26,0,1,11,1,1,25
52,11/5/2021 18:22,26,0,1,11,2,2,25
53,11/6/2021 18:22,26,0,1,11,4,4,25
54,11/7/2021 18:22,26,0,1,11,5,5,25
55,11/8/2021 18:22,26,0,1,11,7,7,25
56,11/4/2021 18:23,29,0,1,11,1,1,25
57,11/4/2021 18:24,25,0,1,11,5,5,25
58,11/4/2021 18:26,25,1,0,14,7,7,25
59,11/4/2021 18:29,25,0,1,14,8,8,25
60,11/5/2021 18:29,25,0,1,14,14,14,25
61,11/4/2021 18:31,25,1,0,15,20,20,25
62,11/4/2021 18:32,25,0,1,15,5,5,25
63,11/4/2021 18:34,27,0,1,15,1,1,25
64,11/5/2021 18:34,27,0,1,15,5,5,25
65,11/6/2021 18:34,27,0,1,15,7,7,25
66,11/7/2021 18:34,27,0,1,15,15,15,25
67,11/4/2021 18:34,27,0,1,11,5,5,25
68,11/5/2021 18:34,27,0,1,11,14,14,25
69,11/6/2021 18:34,27,0,1,11,18,18,25
70,11/4/2021 18:35,25,0,1,0,4,4,25
71,11/5/2021 18:35,25,0,1,0,5,5,25
72,11/6/2021 18:35,25,0,1,0,8,8,25
73,11/7/2021 18:35,25,0,1,0,11,11,25
74,11/4/2021 18:39,25,1,0,14,5,5,25
75,11/4/2021 18:45,25,1,0,19,1,1,25
77,11/4/2021 18:47,25,0,1,5,7,7,25
78,11/4/2021 18:49,23,0,1,11,1,1,23
80,11/4/2021 18:54,24,0,1,11,1,1,24
81,11/4/2021 18:58,25,0,1,6,4,4,25
82,11/4/2021 19:08,25,0,1,18,1,1,25
83,11/5/2021 19:08,25,0,1,18,4,4,25
84,11/6/2021 19:08,25,0,1,18,5,5,25
85,11/7/2021 19:08,25,0,1,18,8,8,25
86,11/4/2021 19:10,24,1,0,18,1,1,24
87,11/5/2021 19:10,24,1,0,18,4,4,24
88,11/4/2021 19:10,19,1,0,18,3,3,19
89,11/5/2021 19:10,19,1,0,18,13,13,19
90,11/6/2021 19:10,19,1,0,18,16,16,19
91,11/7/2021 19:10,19,1,0,18,19,19,19
92,11/4/2021 19:14,19,1,0,6,4,4,19
93,11/4/2021 19:14,22,0,1,11,1,1,22
94,11/4/2021 19:20,24,1,0,11,2,2,24
95,11/4/2021 19:20,25,0,1,11,1,1,25
96,11/4/2021 19:22,25,0,1,11,1,1,25
97,11/4/2021 19:23,24,1,0,18,1,1,24
